hs_code,대분류 선택                                           
2931,그밖의유기-무기화합물
2932,산소헤테로고리화합물
2933,질소헤테로고리화합물
2934,"핵산과이들의염(화학적으로단일한것인지에상관없다),그밖의헤테로고리화합물"
2935,술폰아미드
2936,"프로비타민과비타민(천연의것과이와동일한구조를가지는합성의것으로한정하며,천연의프로비타민농축물과비타민농축물을포함한다),이들의유도체로서주로비타민으로사용하는것과이들의상호혼합물(용매에용해하였는지에상관없다)"
2937,"호르몬ㆍ프로스타글란딘ㆍ트롬복산ㆍ류코트리엔(천연의것과이와동일한구조를가지는합성의것으로한정한다),이들의유도체와이와유사한구조를가지는것으로서주로호르몬으로사용되는것(변성된폴리펩타이드체인을가진것을포함한다)"
2938,"글리코시드(천연의것과이와동일한구조를가지는합성의것으로한정한다),이들의염ㆍ에테르ㆍ에스테르ㆍ그밖의유도체"
2940,"당류 ,당에테르 .당에스테르  및  그들의  염"
2941,항생물질
2942,기타  유기화합물
3001,"장기(臟器)요법용선(腺)과그밖의기관(건조한것으로한정하며,가루로된것인지에상관없다),선(腺)과그밖의기관이나이들의분비물의추출물로서장기(臟器)요법용의것,헤파린과그염,치료용ㆍ예방용으로조제한그밖의인체물질이나동물의물질로서따로분류되지않은것"
3002,"사람의피,치료용ㆍ예방용ㆍ진단용으로조제한동물의피,면역혈청ㆍ그밖의혈액분획물과면역물품(생물공학적방법에따라변성되거나얻어진것인지에상관없다),백신ㆍ독소ㆍ미생물배양체(효모는제외한다)와이와유사한물품"
3003,"의약품(두가지이상의성분을혼합한치료용이나예방용의것으로서제3002호ㆍ제3005호ㆍ제3006호의물품,일정한투여량으로한것,소매용모양이나포장으로한것은제외한다)"
3004,"의약품[혼합한것인지에상관없으며치료용이나예방용의것으로서일정한투여량으로한것(피부투여의형식을취한것을포함한다)과소매용모양이나포장으로한것으로한정하며,제3002호ㆍ제3005호ㆍ제3006호의물품은제외한다]"
3005,탈지면ㆍ거즈ㆍ붕대와이와유사한제품(예:피복재ㆍ반창고ㆍ습포제)으로서의료용이나수의용으로사용하기위하여의료물질을도포하거나침투시킨것이나소매용모양이나포장으로한것
3006,의료용품(이류의주제4호의물품으로한정한다)
3101,"동물성비료 ,식물성비료 ,동 .식물성물품을  혼합하거나  화학처리한  비료"
3102,질소비료(광물성비료나화학비료로한정한다)
3104,칼륨비료(광물성비료나화학비료로한정한다)
3105,"광물성비료나화학비료(비료의필수요소인질소ㆍ인ㆍ칼륨중두가지나세가지를함유하는것으로한정한다),그밖의비료,이류에열거한물품을둥글넓적한(tablet)모양이나이와유사한모양으로한것이거나용기를포함한한개의총중량이10킬로그램이하로포장한것"
3201,"식물성유연용추출물(extract),탄닌과그염ㆍ에테르ㆍ에스테르ㆍ그밖의유도체"
3202,"합성유기유연제ㆍ무기유연제ㆍ조제유연제(천연유연제를함유하였는지에상관없다),유연전(柔軟前)처리용효소계조제품"
3203,"식물성  또는  동물성  착색제 ,이들의  조제품"
3204,"합성 유기착색제(화학적으로 단일한것인지에 상관없다), 이것을 기본 재료로 한 조제품(이 류의 주 제3호의것으로 한정한다.), 형광증백제(螢光增白劑)나 루미노퍼(luminophore)로 사용되는 종류의 합성유기생산품(화학적으로 단일한 것인지에 상관없다.)"
3205,레이크안료  및  이들을  기제로한  조제품
3206,"그밖의착색제와조제품(제3203호ㆍ제3204호ㆍ제3205호에해당하는물품은제외하며,이류의주제3호의것으로한정한다),루미노퍼(luminophore)로사용되는무기물(화학적으로단일한것인지에상관없다)"
3207,"조제안료ㆍ조제유백제(乳白劑)ㆍ조제그림물감ㆍ법랑ㆍ유약ㆍ유약용슬립ㆍ액체상태러스터(lustre)와이와유사한조제품(요업ㆍ에나멜공업ㆍ유리공업에주로사용되는것으로한정한다),유리프리트(frit)와그밖의유리[가루ㆍ알갱이ㆍ플레이크(flake)모양인것으로한정한다]"
3208,"페인트와바니시(varnish)[에나멜ㆍ래커(lacquer)를포함하며,합성중합체나화학적으로변성한천연중합체를기본재료로하여비수성(非水性)매질(媒質)에분산하거나용해한것으로한정한다],이류의주제4호의용액"
3209,"페인트와바니시(varnish)[에나멜과래커(lacquer)를포함하며,합성중합체나화학적으로변성한천연중합체를기본재료로하여수성(水性)매질(媒質)에분산하거나용해한것으로한정한다]"
3210,"기타  페인트와  바니쉬 ,피혁가공용의  조제수성안료"
3211,조제드라이어
3212,"비수성(非水性)매질(媒質)에분산시킨안료[금속가루ㆍ금속플레이크(flake)를포함하며,페인트ㆍ에나멜제조에사용되는액체나페이스트(paste)상태인것으로한정한다],스탬프용박(箔),소매용모양이나포장을한염료와그밖의착색제"
3213,화가용ㆍ학생용ㆍ간판도장공용ㆍ색조수정용ㆍ오락용물감과이와유사한물감[둥글넓적한(tablet)모양인것ㆍ튜브들이ㆍ병들이ㆍ접시들이나이와유사한모양이나포장의것으로한정한다]
3214,"유리접합용퍼티(putty)ㆍ접목용퍼티(putty)ㆍ수지시멘트ㆍ코킹(caulking)화합물과그밖의매스틱(mastic),도장용충전제,건물의외면ㆍ실내벽ㆍ마루ㆍ천장과이와유사한장소에사용되는비내화성표면처리제"
3215,인쇄용잉크ㆍ필기용잉크ㆍ제도용잉크와그밖의잉크(농축하거나고체화한것인지에상관없다)
3301,"정유(essentialoil)[콘크리트(concrete)와앱설루트(absolute)를포함하며,테르펜을제거한것인지에상관없다],레지노이드(resinoid),추출한올레오레진(oleoresin),정유(essentialoil)의농축물[냉침법(冷浸法)이나온침법(溫浸法)에따라얻은것으로서유지ㆍ불휘발성유ㆍ왁스나이와유사한물질을매질(媒質)로한것으로한정한다],정유(essentialoil)에서테르펜을제거할때생기는테르펜계부산물,정유(essentialoil)의애큐어스디스틸레이트(aqueousdistillate)와애큐어스솔루션(aqueoussolution)"
3302,"방향성(芳香性)물질의혼합물과방향성(芳香性)물질의하나이상을기본재료로한혼합물(알코올의용액을포함하며,공업용원료로사용하는것으로한정한다),방향성(芳香性)물질을기본재료로한그밖의조제품(음료제조용으로한정한다)"
3303,향수  및  화장수
3304,"미용이나메이크업용제품류와기초화장용제품류[의약품은제외하며,선스크린(sunscreen)과선탠(suntan)제품류를포함한다],매니큐어용제품류와페디큐어(pedicure)용제품류"
3305,두발용제품류
3306,"구강ㆍ치과위생용제품류[치열교정용페이스트(paste)와가루를포함한다],치간청결용실로서개별소매용으로포장한것[치실(dentalfloss)]"
3307,면도용제품류ㆍ인체용탈취제ㆍ목욕용조제품ㆍ탈모제와그밖의조제향료ㆍ따로분류되지않은화장품이나화장용품ㆍ실내용조제탈취제(향을첨가한것인지또는살균성이있는것인지에상관없다)
3401,"비누,비누로사용되는유기계면활성제품과조제품[막대(bar)모양ㆍ케이크모양ㆍ주형모양으로된것으로한정하며,비누를함유한것인지에상관없다],피부세척용유기계면활성제품과조제품(액체나크림형태의소매용으로한정하며,비누를함유한것인지에상관없다),비누나세제를침투시키거나도포한종이ㆍ워딩(wadding)ㆍ펠트(felt)ㆍ부직포"
3402,"유기계면활성제(비누는제외한다),조제계면활성제ㆍ조제세제(보조조제세제를포함한다)ㆍ조제청정제(비누를함유한것인지에상관없으며제3401호의물품은제외한다)"
3403,"조제윤활유[윤활제를기본재료로한조제절삭제ㆍ볼트나너트방출제ㆍ방청제ㆍ부식방지제ㆍ이형(mouldrelease)조제품을포함한다],방직용재료ㆍ가죽ㆍ모피나그밖의재료의오일링처리나가지처리에사용하는조제품[석유나역청유(瀝靑油)의함유량이전중량의100분의70이상인것을기본재료로한조제품은제외한다]"
3404,인조왁스와조제왁스
3405,"신발용ㆍ가구용ㆍ마루용ㆍ차체(coachwork)용ㆍ유리용ㆍ금속용광택제와크림,연마페이스트(paste)ㆍ연마가루와이와유사한조제품[이러한조제품을침투시키거나도포하거나피복한종이ㆍ워딩(wadding)ㆍ펠트(felt)ㆍ부직포ㆍ셀룰러플라스틱ㆍ셀룰러고무형태의것인지에상관없다](제3404호의왁스는제외한다)"
3406,양초  및  이와  유사한  물품
3407,"조형용  페이스트 ,치과용의  왁스 .인상재료  및  기타플라스터  조제품"
3501,"카세인(casein)ㆍ카세인산염(caseinate)과그밖의카세인(casein)유도체,카세인글루(caseinglue)"
3502,알부민(건조물상태에서계산한유장단백질의함유량이전중량의100분의80을초과하는둘이상의유장단백질의농축물을포함한다)ㆍ알부민산염과그밖의알부민유도체
3503,"젤라틴과  젤라틴유도체 ,아이징글라스 ,기타  동물성글루우"
3504,"펩톤과  기타  단백질계물질  및  그들의  유도체 ,하이드파우더"
3505,"덱스트린과그밖의변성전분[예:프리젤라티나이지드(pregelatinised)전분이나에스테르화전분],전분ㆍ덱스트린이나그밖의변성전분을기본재료로한글루(glue)"
3506,"조제글루(glue)와그밖의조제접착제(따로분류되지않은것으로한정한다),글루(glue)나접착제로사용하기에적합한물품[소매용으로한글루(glue)나접착제로서순중량이1킬로그램이하인것으로한정한다]"
3507,효소와따로분류되지않은조제효소
3606,"페로세륨ㆍ그밖의발화성합금(어떤모양이라도가능하다),이류의주제2호의가연성재료의제품"
3701,"평면모양사진플레이트ㆍ평면모양사진필름(감광성이있고노광하지않은것으로한정하며,종이ㆍ판지ㆍ직물로만든것은제외한다),평면모양인스턴트프린트필름(감광성이있고노광하지않은것으로한정하며,팩으로된것인지에상관없다)"
3702,"롤모양사진필름(감광성이있고노광하지않은것으로한정하며,종이ㆍ판지ㆍ직물로만든것은제외한다)과롤모양인스턴트프린트필름(감광성이있고노광하지않은것으로한정한다)"
3703,사진인화지ㆍ판지ㆍ직물(감광성이있고노광하지않은것으로한정한다)
3704,"사진플레이트 ,필름 ,인화지 ,판지 ,직물 (노광한것 )"
3705,"사진플레이트와필름(노광하여현상한것으로한정하며,영화용필름은제외한다)"
3707,"사진용화학조제품[바니시(varnish)ㆍ글루(glue)ㆍ접착제와이와유사한조제품은제외한다],사진용단일물품(일정소량으로나누거나그대로사용할수있는모양인소매용으로한정한다)"
3801,"인조흑연,콜로이드흑연ㆍ반콜로이드흑연,흑연이나그밖의탄소를기본재료로한조제품[페이스트(paste)ㆍ블록ㆍ판모양이나그밖의반제품으로한정한다]"
3802,"활성탄,활성화한천연의광물성생산품,수탄(獸炭)[폐수탄(廢獸炭)을포함한다]"
3804,목재펄프제조시  생기는  폐액
3806,"로진(rosin)ㆍ수지산과이들의유도체,로진스피릿(rosinspirit)과로진유(rosinoil),런검(rungum)"
3807,"목타르 ,목타르유 ,목크레오소오트 ,목나프타 ,식물성피치 ,브루어피치"
3808,살충제ㆍ살서제(쥐약)ㆍ살균제ㆍ제초제ㆍ발아억제제ㆍ식물성장조절제ㆍ소독제와이와유사한물품[소매용모양이나포장을한것ㆍ조제품으로한것ㆍ제품으로한것(예:황으로처리한밴드ㆍ심지ㆍ양초ㆍ파리잡이끈끈이)으로한정한다]
3809,"완성가공제,염색촉진용ㆍ염료고착용염색캐리어,드레싱ㆍ매염제와같은그밖의물품과조제품(섬유산업ㆍ제지산업ㆍ가죽산업그밖에이와유사한산업에사용하는것으로서따로분류되지않은것으로한정한다)"
3810,"금속표면처리용침지조제품,납붙임용ㆍ땜질용ㆍ용접용융제와그밖의보조조제품,납붙임용ㆍ땜질용ㆍ용접용가루와페이스트(paste)로서금속과그밖의재료로조성한것,용접용전극ㆍ용접봉의코어나피복에사용하는조제품"
3811,안티녹(anti-knock)제ㆍ산화억제제ㆍ검화억제제(guminhibitor)ㆍ점도향상제ㆍ부식방지제와그밖의조제첨가제[광물유(가솔린을포함한다)용이나광물유와동일한목적에사용하는그밖의액체용으로한정한다]
3812,"조제한고무가황촉진제,고무용ㆍ플라스틱용복합가소제(따로분류되지않은것으로한정한다),고무용ㆍ플라스틱용산화방지조제품과그밖의복합안정제"
3813,소화기용의  조제품과  장전물  및  장전된  소화탄
3814,"유기혼합용제와  신나 ,조제한  페인트제거제  또는  바니쉬제거제"
3815,반응시작제ㆍ반응촉진제ㆍ촉매조제품(따로분류되지않은것으로한정한다)
3816,"내화시멘트 ,내화모르타르 ,내화콘크리트  및  이와유사한  혼합물"
3817,혼합알킬벤젠과  혼합알킬나프탈렌
3818,전자공업에  사용하기위하여  도우프처리된  화학원소와화학화합물
3819,"유압제동액 ,기타  조제유압전동액"
3820,부동조제품  및  조제제빙액
3821,미생물용의  조제배양제
3822,진단용  조제시약  및  실험실용  조제시약
3823,"공업용모노카르복시지방산,유지를정제할때생긴애시드유(acidoil),공업용지방성알코올"
3824,"조제점결제(주물의주형용이나코어용으로한정한다),따로분류되지않은화학품과화학공업이나연관공업에따른조제품(천연물만의혼합물을포함한다)"
3825,"따로분류되지않은화학공업이나연관공업에따른잔재물,생활폐기물,하수찌꺼기,이류의주제6호의그밖의폐기물"
3901,에틸렌의중합체[일차제품(primaryform)으로한정한다]
3902,프로필렌의중합체나그밖의올레핀의중합체[일차제품(primaryform)으로한정한다]
3903,스티렌의중합체[일차제품(primaryform)으로한정한다]
3904,염화비닐의중합체나그밖의할로겐화올레핀의중합체[일차제품(primaryform)으로한정한다]
3905,"초산비닐의중합체나그밖의비닐에스테르의중합체,그밖의비닐중합체[일차제품(primaryform)으로한정한다]"
3906,아크릴의중합체[일차제품(primaryform)으로한정한다]
3907,"폴리아세탈수지ㆍ그밖의폴리에테르와에폭시수지,폴리카보네이트ㆍ알키드수지ㆍ폴리아릴에스테르와그밖의폴리에스테르[일차제품(primaryform)으로한정한다]"
3908,폴리아미드[일차제품(primaryform)으로한정한다]
3909,아미노수지ㆍ페놀수지ㆍ폴리우레탄[일차제품(primaryform)으로한정한다]
3910,실리콘수지 (일차제품의  것 )
3911,석유수지ㆍ쿠마론-인덴수지ㆍ폴리테르펜ㆍ폴리술파이드ㆍ폴리술폰과이류의주제3호의기타물품[일차제품(primaryform)으로서따로분류되지않은것으로한정한다]
3912,셀룰로오스와그화학적유도체[일차제품(primaryform)으로서따로분류되지않은것으로한정한다]
3913,"천연중합체(예:알긴산)와변성한천연중합체(예:경화단백질,천연고무의화학적유도체)[일차제품(primaryform)으로서따로분류되지않은것으로한정한다]"
3914,이온교환수지 (에틸렌중합체  또는  천연중합체를  기재로한것 )
3915,플라스틱의웨이스트(waste)ㆍ페어링(paring)ㆍ스크랩(scrap)
3916,"플라스틱의모노필라멘트(횡단면의치수가1밀리미터를초과하는것으로한정한다)ㆍ막대(rod,stick)ㆍ형재(形材)(표면가공을한것인지에상관없으며그밖의가공한것은제외한다)"
3917,플라스틱의관ㆍ파이프ㆍ호스와이들의연결구류[예:조인트(joint)ㆍ엘보(elbow)ㆍ플랜지(flange)]
3918,"플라스틱으로만든바닥깔개(접착성이있는지에상관없으며롤이나타일모양으로한정한다),이류의주제9호의플라스틱으로만든벽피복재나천장피복재"
3919,플라스틱으로만든접착성판ㆍ시트(sheet)ㆍ필름ㆍ박(箔)ㆍ테이프ㆍ스트립과그밖의평면모양인것(롤모양인지에상관없다)
3920,플라스틱으로만든그밖의판ㆍ시트(sheet)ㆍ필름ㆍ박(箔)ㆍ스트립(셀룰러가아닌것으로서그밖의재료로보강ㆍ적층ㆍ지지하거나이와유사하게결합하지않은것으로한정한다)
3921,플라스틱으로만든그밖의판ㆍ시트(sheet)ㆍ필름ㆍ박(箔)ㆍ스트립
3922,플라스틱으로만든목욕통ㆍ샤워통ㆍ설거지통ㆍ세면기ㆍ비데ㆍ화장실용팬ㆍ변기용시트(seat)와커버ㆍ수세용물탱크와이와유사한위생용품
3923,"플라스틱으로만든물품운반ㆍ포장용기,플라스틱으로만든뚜껑ㆍ마개ㆍ캡과이와유사한물품"
3924,플라스틱으로만든식탁용품ㆍ주방용품ㆍ그밖의가정용품ㆍ위생용품ㆍ화장용품
3925,플라스틱으로만든건축용품(따로분류되지않은것으로한정한다)
3926,플라스틱으로만든그밖의제품과제3901호부터제3914호까지의기타물품의제품
4001,천연고무ㆍ발라타(balata)ㆍ구타페르카(gutta-percha)ㆍ구아율(guayule)ㆍ치클(chicle)과이와유사한천연검(gum)[일차제품(primaryform)ㆍ판ㆍ시트(sheet)ㆍ스트립모양으로한정한다]
4002,"합성고무와기름에서제조한팩티스(factice)[일차제품(primaryform)ㆍ판ㆍ시트(sheet)ㆍ스트립모양으로한정한다],제4001호의물품과제4002호의물품과의혼합물[일차제품(primaryform)ㆍ판ㆍ시트(sheet)ㆍ스트립모양으로한정한다]"
4003,재생고무 (일차제품 .판 .쉬이트 .스트립상의것에  한함 )
4004,고무의  웨이스트 .페어링 .스크랩  및  이들의  파우더와입
4005,가황하지않은배합고무[일차제품(primaryform)ㆍ판ㆍ시트(sheet)ㆍ스트립모양으로한정한다]
4006,가황하지않은고무의그밖의모양[예:막대(rod)ㆍ관ㆍ형재(形材)]과제품(예:디스크ㆍ링)
4007,고무사와  고무끈 (가황한것 )
4008,"고무로만든판ㆍ시트(sheet)ㆍ스트립ㆍ막대(rod)ㆍ형재(形材)[가황한것으로한정하며,경질(硬質)고무인것은제외한다]"
4009,"고무로만든관ㆍ파이프ㆍ호스[가황한것으로한정하고,경질(硬質)고무인것은제외하며,조인트(joint)ㆍ엘보(elbow)ㆍ플랜지(flange)등연결구류가부착된것인지에상관없다]"
4010,고무로만든컨베이어용ㆍ전동(transmission)용벨트와벨팅(belting)(가황한것으로한정한다)
4011,고무로만든공기타이어(신품으로한정한다)
4012,"고무로만든공기타이어(재생품과중고품으로한정한다),고무로만든솔리드(solid)나쿠션타이어,타이어트레드(tread),타이어플랩(flap)"
4013,고무로만든이너튜브
4014,"고무로만든위생용품과의료용품[젖꼭지를포함하며,경질(硬質)고무외의가황한것으로한정한다.다만,경질(硬質)고무로만든연결구류를부착한것인지에상관없다]"
4015,"고무로만든의류와의류부속품[장갑,벙어리장갑을포함하고,경질(硬質)고무외의가황한것으로한정하며,어떤용도인지는상관없다]"
4016,가황한고무의그밖의제품[경질(硬質)고무로만든것은제외한다]
4017,경질고무와  그  제품
4101,"소(버팔로를포함한다)와마속(馬屬)동물의원피[생것ㆍ염장한것ㆍ건조한것ㆍ석회처리한것ㆍ산처리한것이나그밖의방법으로보존처리한것으로한정하고,유연처리ㆍ파치먼트(parchment)가공이나그이상의가공을한것은제외하며,털을제거한것인지또는스플릿(split)한것인지에상관없다]"
4102,"면양이나어린양의원피[생것ㆍ염장한것ㆍ건조한것ㆍ석회처리한것ㆍ산처리한것이나그밖의방법으로보존처리한것으로한정하고,유연처리ㆍ파치먼트(parchment)가공이나그이상의가공을한것은제외하며,털을제거한것인지또는스플릿(split)한것인지에상관없다.다만,이류의주제1호다목에따라제외되는것을포함하지않는다]"
4104,"소(버팔로를포함한다)나마속(馬屬)동물의유연처리나크러스트처리한원피[털을제거한것으로한정하고,스플릿(split)한것인지에상관없으며그이상가공한것은제외한다]"
4105,"면양이나어린양의유연처리ㆍ크러스트처리한원피[털을제거한것으로한정하고,스플릿(split)한것인지에상관없으며그이상가공한것은제외한다]"
4106,"그밖의동물의유연처리ㆍ크러스트처리한원피[털을제거한것으로한정하고,스플릿(split)한것인지에상관없으며그이상가공한것은제외한다]"
4107,"유연처리ㆍ크러스트처리한후그이상의가공을한소(버팔로를포함한다)나마속(馬屬)동물의가죽[파치먼트(parchment)가공가죽을포함한다][털을제거한것으로한정하고,스플릿(split)한것인지에상관없으며제4114호의가죽은제외한다]"
4112,"유연처리 또는 크러스트처리한 후 더 이상의 가공을 한 면양이나 어린양의 가죽(파치먼트가공 가죽을 포함한다) (탈모한 것에 한하고 스프릿한 것인지의 여부를 불문하며, 제4114호의 가죽을 제외한다)"
4113,"유연처리ㆍ크러스트처리한후그이상의가공을한그밖의동물의가죽[파치먼트(parchment)가공가죽을포함한다][털을제거한것으로한정하고,스플릿(split)한것인지에상관없으며제4114호의가죽은제외한다]"
4114,"섀미가죽(chamoisleather)[콤비네이션섀미가죽(chamoisleather)을포함한다],페이턴트레더(patentleather)와적층한페이턴트레더(patentleather),메탈라이즈드레더(metallisedleather)"
4115,"콤퍼지션레더(compositionleather)[가죽이나가죽섬유를기본재료로하여제조한것으로서롤모양인지에상관없으며슬래브모양ㆍ시트(sheet)모양ㆍ스트립모양으로한정한다],가죽이나콤퍼지션레더(compositionleather)의페어링(paring)과그밖의웨이스트(waste)(가죽제품의제조에적합하지않은것으로한정한다),가죽의더스트(dust)와가루"
4201,동물용의  마구 (고삐줄 .끈 .무릎받이 .재갈 .안장용방석등 )
4202,"트렁크ㆍ슈트케이스ㆍ화장품케이스ㆍ이그잭큐티브케이스(executivecase)ㆍ서류가방ㆍ학생가방,안경케이스ㆍ쌍안경케이스ㆍ사진기케이스ㆍ악기케이스ㆍ총케이스ㆍ권총케이스와이와유사한용기,가죽ㆍ콤퍼지션레더(compositionleather)ㆍ플라스틱의시트(sheet)ㆍ방직용섬유ㆍ벌커나이즈드파이버(vulcanisedfibre)ㆍ판지또는이러한재료나종이로전부또는주로피복하여만든여행가방ㆍ식품용이나음료용단열가방ㆍ화장갑ㆍ배낭ㆍ핸드백ㆍ쇼핑백ㆍ돈주머니ㆍ지갑ㆍ지도용케이스ㆍ담배케이스ㆍ담배쌈지ㆍ공구가방ㆍ운동용구가방,병케이스ㆍ신변장식용품용상자ㆍ분갑ㆍ칼붙이집과이와유사한용기"
4203,의류와의류부속품[가죽이나콤퍼지션레더(compositionleather)로만든것으로한정한다]
4205,기타의  가죽제품과  콤포지션레더제품
4302,"모피(유연처리,드레스가공한것으로서머리부분,꼬리부분,발부분과그밖의조각이나절단품을포함하고,조합하지않은것이나그밖의재료를가하지않고조합한것으로한정하며,제4303호의물품은제외한다)"
4303,모피의류ㆍ모피의류의부속품과그밖의모피제품
4304,인조모피와  그  제품
4401,"땔나무(통나무,목편,작은가지,다발이나이와유사한모양으로한정한다),칩이나삭편(削片)모양인목재,톱밥ㆍ목재의웨이스트(waste)와스크랩(scrap)[통나무ㆍ브리케트(briquette)ㆍ펠릿(pellet)이나이와유사한모양으로응결된것인지에상관없다]"
4402,"목탄[쉘(shell)이나너트(nut)의탄을포함하며,응결된것인지에상관없다]"
4403,원목[껍질ㆍ변재(邊材)를벗긴것인지또는거칠게각을뜬것인지에상관없다]
4407,"제재목[길이의방향으로쪼갠것,평삭(平削)한것,회전식으로절단한것으로서두께가6밀리미터를초과하는것으로한정하며,대패질ㆍ연마ㆍ엔드-조인트한(end-jointed)것인지에상관없다]"
4408,"베니어용단판[적층목재를평삭(平削)한것을포함한다],합판용단판이나이와유사한적층목재용단판,그밖의목재[길이의방향으로톱질한것,평삭(平削)한것,회전식으로절단한것으로서두께가6밀리미터이하인것으로한정하며,대패질ㆍ연마ㆍ엔드-조인트한(end-jointed)것인지에상관없다]"
4409,목재[미조립한쪽마루판용스트립(strip)과프리즈(frieze)를포함한다]로서어느한쪽의가장자리ㆍ마구리ㆍ면을따라연속적으로성형한것[블록가공ㆍ홈가공ㆍ은촉이음가공ㆍ경사이음가공ㆍ브이형이음가공ㆍ구술형가공ㆍ주형가공ㆍ원형가공이나이와유사한가공을한것으로서대패질ㆍ연마ㆍ엔드-조인트한(end-jointed)것인지에상관없다]
4410,"파티클보드(particleboard),배향성(配向性)이있는스트랜드보드(OSB:orientedstrandboard)와이와유사한보드[예:웨이퍼보드(waferboard)](목재나그밖의목질재료로만든것으로한정하며,수지나그밖의유기결합제로응결시킨것인지에상관없다)"
4411,"섬유판(목재나그밖의목질재료로만든것으로한정하며,수지나그밖의유기물질로접착한것인지에상관없다)"
4412,합판ㆍ베니어패널과이와유사한적층목재
4413,고밀도화목재 (블록상 .플레이트상 .스트립상 .프로파일형상의것 )
4414,목제의  그림틀 .사진틀 .거울틀 .이와  유사한  틀
4415,"나무로만든케이스ㆍ상자ㆍ크레이트(crate)ㆍ드럼과이와유사한포장용기,나무로만든케이블드럼,나무로만든팰릿(pallet),박스팰릿(boxpallet),그밖의깔판류,나무로만든팰릿칼러(palletcollar)"
4417,"목제의  공구 .공구의  몸체와  손잡이 ,신발의  목제골"
4418,나무로만든건축용건구와목공품[셀룰러우드패널(cellularwoodpanel)ㆍ조립된마루판용패널ㆍ지붕을이는판자를포함한다]
4419,목제의  식탁용품과  주방용품
4420,"마르퀘트리(marquetry)목제품과상감세공목제품,신변장식용품,칼붙이,이와유사한제품용인나무로만든상자와용기,나무로만든작은조각상과그밖의장식품,제94류에해당하지않는목제가구"
4421,그밖의목제품
4501,"천연코르크(cork)(가공하지않은것이나단순히가공한것으로한정한다),코르크(cork)의웨이스트(waste),부순코르크(cork),알갱이모양코르크(cork),잘게부순코르크(cork)"
4503,천연코르크(cork)제품
4504,응집코르크(cork)(응집제를사용한것인지에상관없다)와응집코르크(cork)의제품
4602,"바구니세공물(basketware),지조세공물(枝條細工物)과그밖의제품(조물재료로직접조형한것이나제4601호의물품으로만든것으로한정한다),수세미제품"
4703,"화학목재펄프(소다펄프나황산펄프로한정하며,용해용은제외한다)"
4705,반화학목재펄프
4706,회수한종이나판지[웨이스트(waste)와스크랩(scrap)]에서뽑아낸섬유펄프나그밖의섬유질셀룰로오스재료의펄프
4707,회수한종이나판지[웨이스트(waste)와스크랩(scrap)]
4801,신문용지 (로울상  또는  쉬이트상의것 )
4802,"도포하지않은종이와판지(필기용,인쇄용,그밖의그래픽용으로한정한다),구멍을뚫지않은펀치카드와펀치테이프지[제4801호와제4803호의것은제외하며,크기와는관계없이롤모양이나직사각형(정사각형을포함한다)시트(sheet)모양으로한정한다],수제지(手製紙)와판지"
4803,"화장지 .안면용티슈스톡 ,내프킨스톡 ,셀룰로오스워딩 .셀룰로오스섬유웨브"
4804,"도포하지않은크라프트지와판지[롤모양이나시트(sheet)모양으로한정하며,제4802호나제4803호의것은제외한다]"
4805,"그밖의도포하지않은종이와판지[롤모양이나시트(sheet)모양으로한정하며,이류의주제3호의것이상의가공을하지않은것으로한정한다]"
4806,황산지ㆍ내지지(耐脂紙)ㆍ트레이싱지(tracingpaper)ㆍ글라신지(glassinepaper)와그밖의투명광택지나반투명광택지[롤모양이나시트(sheet)모양으로한정한다]
4807,"겹붙인지와  판지 (접착제로 겹붙인 것으로 롤상 또느 쉬트상의 것, 표면 도포, 침투 제외)"
4808,"물결모양으로하거나(corrugated)(평면지가붙은것인지에상관없다)주름지거나(creped)구겨지거나(crinkled)올록볼록하거나(embossed)구멍을뚫은(perforated)종이와판지[롤모양이나시트(sheet)모양으로한정하며,제4803호의것은제외한다]"
4809,"카본지,셀프복사지,그밖의복사지나전사지[등사원지나오프셋플레이트(offsetplate)로사용하는도포지와침투지를포함하고,인쇄한것인지에상관없으며롤모양이나시트(sheet)모양으로한정한다]"
4810,한면이나양면을도포한종이와판지[결합재가있는지에상관없으며고령토(kaolin)[차이나클레이(Chinaclay)]나그밖의무기물질을도포한것(그밖의다른물질을도포한것은제외한다)으로서표면착색ㆍ표면장식ㆍ인쇄하였는지에상관없으며크기와는관계없이롤모양이나직사각형(정사각형을포함한다)의시트(sheet)모양으로한정한다]
4811,"종이,판지,셀룰로오스워딩,셀룰로오스섬유의웹(web)[크기와는관계없이롤모양이나직사각형(정사각형을포함한다)의시트(sheet)모양으로서도포ㆍ침투ㆍ피복ㆍ표면착색ㆍ표면장식ㆍ인쇄한것으로한정하며,제4803호ㆍ제4809호ㆍ제4810호에열거한것은제외한다]"
4812,제지용  펄프제의  필터블록 .필터슬랩 .필터플레이트
4813,궐련지(적합한크기로절단하였는지또는소책자나튜브모양인지에상관없다)
4814,벽지와이와유사한벽피복재와창용투명지
4816,"카본지,셀프복사지,그밖의복사지나전사지(제4809호의것은제외한다),종이로만든등사원지와오프셋플레이트(offsetplate)(상자에든것인지에상관없다)"
4817,"종이나판지로만든봉투ㆍ봉함엽서ㆍ우편엽서ㆍ통신용카드,종이나판지로만든상자ㆍ파우치ㆍ지갑ㆍ필기첩(안에종이로만든문구류가있는것으로한정한다)"
