hs_code,대분류 선택                                           
1103,곡물의부순알곡ㆍ거친가루ㆍ펠릿(pellet)
1104,"그밖의가공한곡물[예:껍질을벗긴것ㆍ압착한것ㆍ플레이크(flake)모양인것ㆍ진주모양인것ㆍ얇은조각으로만든것ㆍ거칠게빻은것(제1006호의쌀은제외한다)],곡물의씨눈으로서원래모양인것ㆍ압착한것ㆍ플레이크(flake)모양인것ㆍ잘게부순것"
1105,감자의고운가루ㆍ거친가루ㆍ가루ㆍ플레이크(flake)ㆍ알갱이ㆍ펠릿(pellet)
1106,"건조한채두류(菜豆類)(제0713호의것),사고(sago)ㆍ뿌리나괴경(塊莖)(제0714호의것),제8류물품의고운가루ㆍ거친가루ㆍ가루"
1107,맥아(볶은것인지에상관없다)
1108,전분과이눌린(inulin)
1109,밀의 글루우텐
1202,"땅콩(볶거나그밖의조리를한것은제외하며,껍데기를벗겼는지,부수었는지에상관없다)"
1207,그밖의채유(採油)에적합한종자와과실(부수었는지에상관없다)
1208,채유(採油)에적합한종자와과실의고운가루와거친가루(겨자의고운가루와거친가루는제외한다)
1209,파종용종자ㆍ과실ㆍ포자(胞子)
1211,"주로향료용ㆍ의료용ㆍ살충용ㆍ살균용과그밖에이와유사한용도에적합한식물과그부분(종자와과실을포함하고,신선하거나건조한것으로한정하며,절단하거나잘게부순것인지또는가루로된것인지에상관없다)"
1212,"로커스트콩(locustbean)ㆍ해초류와그밖의조류(藻類)ㆍ사탕무와사탕수수(신선한것ㆍ냉장이나냉동한것ㆍ건조한것으로서잘게부수었는지에상관없다),주로식용에적합한과실의핵(核)과그밖의식물성생산품[볶지않은시코리엄인티부스새티범(Cichoriumintybussativum)변종의치커리(chicory)뿌리를포함한다]으로서따로분류되지않은것"
1213,곡물의  짚과  껍질 (조제하지  않은것 )
1301,"락(lac),천연검ㆍ수지ㆍ검수지ㆍ올레오레진(oleoresin)[예:발삼(balsam)]"
1302,"식물성수액과추출물(extract),펙틴질,펙티닝산염(pectinate)과펙틴산염(pectate),식물성원료에서얻은한천ㆍ그밖의점질물과시커너(thickener)(변성가공했는지에상관없다)"
1404,따로분류되지않은식물성생산품
1502,소ㆍ면양ㆍ산양의지방(제1503호의것은제외한다)
1504,어류나바다에서사는포유동물의지방과기름및그분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)
1505,우울그리이스와  이에서  얻은  지방성물질 (라놀린포함 )
1507,대두유와그분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)
1509,올리브유와그분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)
1510,기타 올리브유와 그 분획물
1512,해바라기씨유ㆍ잇꽃유ㆍ목화씨유와그분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)
1513,"야자[코프라(copra)]유,팜핵유(palmkerneloil),바바수유(babassuoil)와이들의분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)"
1514,"유채유(rapeoil,colzaoil),겨자유와이들의분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)"
1515,그밖의비휘발성인식물성지방과기름[호호바유(jojobaoil)를포함한다]과그분획물(정제했는지에상관없으며화학적으로변성가공한것은제외한다)
1516,"동물성ㆍ식물성지방과기름및이들의분획물[전체적으로나부분적으로수소를첨가한것,인터에스텔화한(inter-esterified)것,리에스텔화한(re-esterified)것,엘라이딘화한(elaidinised)것으로한정하며,정제했는지에상관없으며더이상가공한것은제외한다]"
1517,"마가린,동물성ㆍ식물성지방이나기름또는이류의다른지방이나기름의분획물로만든식용혼합물이나조제품(제1516호의식용지방이나기름또는이들의분획물은제외한다)"
1518,"동 .식물성유지 ,분획물 (산화등  화학적변성됨 ),비식용  동 .식물성유지혼합물"
1520,"글리세롤 ,글리세롤수 ,글리세롤폐액"
1521,식물성납(蠟)[트리글리세라이드(triglyceride)는제외한다]ㆍ밀랍(蜜蠟)과그밖의곤충납(昆蟲蠟)ㆍ경납(鯨蠟)(정제했는지또는착색했는지에상관없다)
1601,"소시지 ,기타  유사물품 (육 ,설육 ,피로  조제한것 )과  이들의  조제식품"
1602,그밖의조제하거나보존처리한육ㆍ설육(屑肉)이나피
1603,육 .어류 .갑각류 .연체동물 .기타  수생무철추동물의  엑스와  즙
1604,"조제하거나보존처리한어류,캐비아,어란(魚卵)으로조제한캐비아대용물"
1605,조제하거나보존처리한갑각류ㆍ연체동물ㆍ그밖의수생(水生)무척추동물
1701,"사탕수수당이나사탕무당,화학적으로순수한자당(蔗糖)(고체상태인것으로한정한다)"
1702,"그밖의당류(糖類)[화학적으로순수한유당(乳糖)ㆍ맥아당ㆍ포도당ㆍ과당을포함하며,고체상태인것으로한정한다],당시럽[향미제(香味劑)나착색제를첨가하지않은것으로한정한다],인조꿀(천연꿀을혼합했는지에상관없다),캐러멜당"
1704,"설탕과자(백색초콜릿을포함하며,코코아를함유한것은제외한다)"
1804,코코아  버터 (지와  유 )
1806,초콜릿과코코아를함유한그밖의조제식료품
1901,"맥아추출물(extract)과고운가루ㆍ부순알곡ㆍ거친가루ㆍ전분이나맥아추출물(extract)의조제식료품[코코아를함유하지않은것이나완전히탈지(脫脂)한상태에서측정한코코아의함유량이전중량의100분의40미만인것으로따로분류되지않은것으로한정한다],제0401호부터제0404호까지에해당하는물품의조제식료품[코코아를함유하지않은것이나완전히탈지(脫脂)한상태에서측정한코코아의함유량이전중량의100분의5미만인것으로따로분류되지않은것으로한정한다]"
1902,파스타[조리한것인지또는육(肉)이나그밖의물품으로속을채운것인지에상관없으며스파게티ㆍ마카로니ㆍ누들ㆍ라자니아(lasagne)ㆍ뇨키(gnocchi)ㆍ라비올리(ravioli)ㆍ카넬로니(cannelloni)등과같이그밖의방법으로조제한것을포함한다]와쿠스쿠스(couscous)(조제한것인지에상관없다)
1903,"타피오카 ,전분으로  제조한  타피오카대용물"
1904,곡물이나곡물가공품을팽창시키거나볶아서얻은조제식료품[예:콘플레이크(cornflake)]과낟알모양이나플레이크(flake)모양인곡물(옥수수는제외한다)과그밖의가공한곡물(고운가루ㆍ부순알곡ㆍ거친가루는제외하고사전조리나그밖의방법으로조제한것으로서따로분류되지않은것으로한정한다)
1905,"빵ㆍ파이ㆍ케이크ㆍ비스킷과그밖의베이커리제품(코코아를함유하였는지에상관없다),성찬용웨이퍼ㆍ제약용에적합한빈캡슐ㆍ실링웨이퍼(sealingwafer)ㆍ라이스페이퍼(ricepaper)와그밖에이와유사한물품"
2001,식초나초산으로조제하거나보존처리한채소ㆍ과실ㆍ견과류와그밖의식용에적합한식물의부분
2005,"조제하거나보존처리한그밖의채소(식초나초산으로처리한것은제외하고,냉동하지않은것으로한정하며,제2006호의물품은제외한다)"
2006,"설탕으로  저장처리한  과실 ,견과류 ,과피 ,식물의기타부분"
2007,"잼ㆍ과실젤리ㆍ마멀레이드(marmalade)ㆍ과실이나견과류의퓨레(puree)ㆍ과실이나견과류의페이스트(paste)(조리해서얻은것으로한정하며,설탕이나그밖의감미료를첨가했는지에상관없다)"
2008,그밖의방법으로조제하거나보존처리한과실ㆍ견과류와그밖의식용에적합한식물의부분(설탕이나그밖의감미료나주정을첨가했는지에상관없으며따로분류되지않은것으로한정한다)
2009,과실주스(포도즙을포함한다)와채소주스(설탕이나그밖의감미료를첨가했는지에상관없으며발효하지않은것으로주정을함유하지않은것으로한정한다)
2101,"커피ㆍ차ㆍ마테(mate)의추출물(extract)ㆍ에센스(essence)ㆍ농축물과이것들을기본재료로한조제품,커피ㆍ차ㆍ마테(mate)를기본재료로한조제품,볶은치커리(chicory)ㆍ그밖의볶은커피대용물과이들의추출물(extract)ㆍ에센스(essence)ㆍ농축물"
2102,"효모(활성이거나불활성인것으로한정한다),그밖의단세포미생물(죽은것으로한정하며,제3002호의백신은제외한다)과조제한베이킹파우더"
2103,"소스와소스용조제품,혼합조미료,겨자의고운가루ㆍ거친가루와조제한겨자"
2104,"수프ㆍ브로드(broth)와수프ㆍ브로드(broth)용조제품,균질화한혼합조제식료품"
2105,"아이스크림 ,기타  빙과류"
2106,따로분류되지않은조제식료품
2201,"물(천연이나인조광천수와탄산수를포함하며,설탕이나그밖의감미료또는맛이나향을첨가하지않은것으로한정한다)과얼음과눈"
2202,설탕이나그밖의감미료또는맛이나향을첨가한물(광천수와탄산수를포함한다)과그밖의알코올을함유하지않은음료(제2009호의과실주스와채소주스는제외한다)
